epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,315.025,0.38459,0.35484,0.96696,0.99335,1,0.995,0.91749,0.48197,0.38214,1.13181,0.000726312,0.000726312,0.000726312
59,320.945,0.38769,0.35195,0.97958,0.99297,1,0.995,0.90691,0.48566,0.34592,1.12186,0.000709809,0.000709809,0.000709809
60,325.661,0.41227,0.3634,0.97861,0.9908,0.99845,0.995,0.91182,0.4319,0.33778,1.08203,0.000693305,0.000693305,0.000693305
61,330.146,0.38967,0.34818,0.95849,0.99034,1,0.995,0.92389,0.42983,0.34265,1.03083,0.000676802,0.000676802,0.000676802
62,336.095,0.40092,0.35756,0.98468,0.99191,1,0.995,0.92326,0.41287,0.37487,1.01279,0.000660299,0.000660299,0.000660299
63,340.778,0.38272,0.33827,0.9658,0.99328,1,0.995,0.9231,0.41054,0.36351,1.01921,0.000643795,0.000643795,0.000643795
64,346.796,0.37,0.33549,0.95455,0.98717,1,0.995,0.90256,0.50215,0.39191,1.11093,0.000627292,0.000627292,0.000627292
65,351.599,0.37778,0.33256,0.96488,0.98876,1,0.995,0.90299,0.47569,0.38584,1.09441,0.000610789,0.000610789,0.000610789
66,356.282,0.37208,0.33036,0.95829,0.98953,1,0.995,0.9112,0.45913,0.36693,1.09278,0.000594286,0.000594286,0.000594286
67,362.307,0.37577,0.33054,0.9556,0.99203,1,0.995,0.91807,0.44163,0.36722,1.08116,0.000577782,0.000577782,0.000577782
68,367.109,0.37139,0.33361,0.96168,0.99386,1,0.995,0.91417,0.45083,0.33978,1.08293,0.000561279,0.000561279,0.000561279
69,371.748,0.37234,0.33171,0.97257,0.9943,1,0.995,0.92019,0.43441,0.35147,1.06294,0.000544776,0.000544776,0.000544776
70,377.487,0.39175,0.35194,0.95703,0.99444,1,0.995,0.89586,0.45025,0.34402,1.08556,0.000528272,0.000528272,0.000528272
71,381.992,0.36957,0.31748,0.96817,0.99382,1,0.995,0.89012,0.47128,0.34675,1.1158,0.000511769,0.000511769,0.000511769
72,386.856,0.35929,0.31939,0.95673,0.99269,1,0.995,0.90983,0.4604,0.33923,1.056,0.000495266,0.000495266,0.000495266
73,392.85,0.36894,0.32592,0.96171,0.99351,1,0.995,0.91108,0.45202,0.33031,1.06046,0.000478762,0.000478762,0.000478762
74,397.48,0.37347,0.32566,0.97552,0.99375,1,0.995,0.90649,0.45609,0.31069,1.09074,0.000462259,0.000462259,0.000462259
75,403.13,0.39384,0.33676,0.96322,0.99342,1,0.995,0.91511,0.45173,0.29758,1.08408,0.000445756,0.000445756,0.000445756
76,408.259,0.34648,0.3062,0.96305,0.99157,1,0.995,0.91624,0.44239,0.3124,1.07796,0.000429253,0.000429253,0.000429253
77,413.018,0.36434,0.31406,0.9687,0.99185,1,0.995,0.90365,0.45135,0.31261,1.06441,0.000412749,0.000412749,0.000412749
78,419.241,0.31613,0.29315,0.93572,0.99256,1,0.995,0.90578,0.45858,0.32323,1.0723,0.000396246,0.000396246,0.000396246
79,424.071,0.34426,0.30051,0.93587,0.9937,1,0.995,0.94071,0.43937,0.32186,1.05619,0.000379743,0.000379743,0.000379743
80,429.214,0.32727,0.2987,0.94596,0.99391,1,0.995,0.94147,0.40467,0.32578,1.03021,0.000363239,0.000363239,0.000363239
81,434.997,0.34292,0.30571,0.9623,0.99381,1,0.995,0.91893,0.41448,0.33939,1.04469,0.000346736,0.000346736,0.000346736
82,439.843,0.34547,0.30598,0.95259,0.99354,1,0.995,0.90859,0.42164,0.34695,1.0578,0.000330233,0.000330233,0.000330233
83,446.011,0.32024,0.2823,0.93894,0.99262,1,0.995,0.92054,0.41186,0.34347,1.03454,0.000313729,0.000313729,0.000313729
84,451.317,0.36648,0.32193,0.95173,0.99314,1,0.995,0.92214,0.4255,0.33474,1.0496,0.000297226,0.000297226,0.000297226
85,455.805,0.31485,0.27656,0.93263,0.99278,1,0.995,0.91707,0.4236,0.32717,1.06358,0.000280723,0.000280723,0.000280723
86,462.283,0.33588,0.27181,0.9567,0.99207,1,0.995,0.91945,0.42007,0.32463,1.05708,0.00026422,0.00026422,0.00026422
87,468.269,0.32739,0.28438,0.94149,0.99037,1,0.995,0.9196,0.42614,0.31775,1.0589,0.000247716,0.000247716,0.000247716
88,473.991,0.31931,0.27578,0.93478,0.98912,1,0.995,0.92558,0.41778,0.30446,1.0475,0.000231213,0.000231213,0.000231213
89,480.963,0.33499,0.29403,0.95709,0.99139,1,0.995,0.93019,0.40784,0.31122,1.04145,0.00021471,0.00021471,0.00021471
90,485.89,0.31158,0.27017,0.92894,0.99319,1,0.995,0.91499,0.39758,0.2975,1.03239,0.000198206,0.000198206,0.000198206
91,494.743,0.24191,0.42897,0.90578,0.99408,1,0.995,0.92239,0.40245,0.29651,1.04335,0.000181703,0.000181703,0.000181703
92,499.025,0.20547,0.29246,0.87882,0.99449,1,0.995,0.93786,0.39819,0.29227,1.06504,0.0001652,0.0001652,0.0001652
93,504.65,0.20946,0.26758,0.90531,0.99469,1,0.995,0.93017,0.39091,0.27839,1.03775,0.000148696,0.000148696,0.000148696
94,508.898,0.18978,0.22853,0.8945,0.99449,1,0.995,0.93529,0.38122,0.27233,1.02548,0.000132193,0.000132193,0.000132193
95,513.418,0.19251,0.22056,0.88828,0.99454,1,0.995,0.92935,0.38773,0.27253,1.02471,0.00011569,0.00011569,0.00011569
96,519.679,0.18646,0.21301,0.87657,0.99474,1,0.995,0.92243,0.39043,0.25605,1.03274,9.91865e-05,9.91865e-05,9.91865e-05
97,523.843,0.19096,0.21761,0.8643,0.99491,1,0.995,0.92403,0.39635,0.26072,1.03508,8.26832e-05,8.26832e-05,8.26832e-05
98,528.934,0.18203,0.22023,0.87728,0.99558,1,0.995,0.93805,0.4014,0.27061,1.04838,6.61799e-05,6.61799e-05,6.61799e-05
99,534.179,0.17732,0.20801,0.87622,0.99575,1,0.995,0.93853,0.40501,0.27099,1.05781,4.96766e-05,4.96766e-05,4.96766e-05
100,538.457,0.17143,0.20661,0.89074,0.9958,1,0.995,0.92206,0.40646,0.26732,1.05484,3.31733e-05,3.31733e-05,3.31733e-05
